evidence_feature,family,fake_source,n_fake,n_real,effect_size,auroc,auroc_ci_lower,auroc_ci_upper,direction,corr_with_v811_fake_prob,corr_with_cam_faithfulness,n_matched_cam,resolution_confound_corr_real,resolution_confound_corr_fake,face_size_confound_corr_real,face_size_confound_corr_fake,direction_consistent_across_sources,between_source_resolution_confound_spearman
freq_powerlaw_residual_std,frequency,stylegan2_ood,60,210,-1.896665931164981,0.05992063492063492,0.0345,0.08960714285714286,higher-in-real,0.20439010836343433,,0,-0.4565386012720541,,-0.5040314948209685,0.09774937482634068,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,df40_dit,44,210,-0.051066983807029405,0.4816017316017316,0.3946672077922078,0.5603977272727273,higher-in-real,0.19337561663143057,0.6272727272727273,11,-0.4565386012720541,,-0.5040314948209685,0.15940803382663846,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,df40_sit,45,210,-0.048789700504021094,0.48338624338624336,0.39839417989417986,0.5659444444444445,higher-in-real,-0.2077733860342556,0.6,6,-0.4565386012720541,,-0.5040314948209685,-0.21198945981554673,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,df40_ddim,45,210,-0.8951547606937452,0.24772486772486774,0.19258730158730158,0.30308730158730157,higher-in-real,0.20922266139657444,-0.6071428571428572,7,-0.4565386012720541,,-0.5040314948209685,0.0603425559947299,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,df40_pixart,45,210,0.9102139709041475,0.7337566137566137,0.6586137566137567,0.799058201058201,higher-in-fake,-0.3524374176548089,0.016666666666666666,9,-0.4565386012720541,,-0.5040314948209685,-0.22621870882740447,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,df40_sd21,44,210,-0.03443269187996276,0.48474025974025975,0.39531655844155844,0.5766450216450216,higher-in-real,-0.15673009161381252,-0.2380952380952381,8,-0.4565386012720541,,-0.5040314948209685,-0.11402396053558844,False,-0.2628601860056686
freq_powerlaw_residual_std,frequency,midjourney,45,210,-1.2919222223047813,0.16201058201058202,0.11702116402116403,0.21208994708994708,higher-in-real,0.2168642951251647,0.16666666666666669,9,-0.4565386012720541,,-0.5040314948209685,-0.6263504611330697,False,-0.2628601860056686
freq_logmag_mean,frequency,aiguard_unseen,60,210,0.7376710288351764,0.7226190476190476,0.6521051587301587,0.791436507936508,higher-in-fake,-0.23323145318143937,0.7,15,0.15377145158263558,0.3109558264117892,0.3162929176087071,-0.3500416782439567,False,-0.062130589419521653
freq_logmag_mean,frequency,stylegan2_ood,60,210,1.1771315060398622,0.8238888888888889,0.7706269841269842,0.8731051587301588,higher-in-fake,0.03539872186718534,,0,0.15377145158263558,,0.3162929176087071,-0.14609613781606004,False,-0.062130589419521653
freq_logmag_mean,frequency,df40_dit,44,210,-2.677256602634254,0.02619047619047619,0.010497835497835497,0.04772997835497835,higher-in-real,-0.2138125440451022,0.5272727272727273,11,0.15377145158263558,,0.3162929176087071,-0.035236081747709654,False,-0.062130589419521653
freq_logmag_mean,frequency,df40_sit,45,210,-2.430871194660718,0.04835978835978836,0.017457671957671957,0.0909126984126984,higher-in-real,-0.5578392621870882,0.48571428571428577,6,0.15377145158263558,,0.3162929176087071,-0.28353096179183135,False,-0.062130589419521653
freq_logmag_mean,frequency,df40_ddim,45,210,-0.2523616659026995,0.4402116402116402,0.3582936507936508,0.5258518518518519,higher-in-real,-0.44743083003952566,0.5714285714285715,7,0.15377145158263558,,0.3162929176087071,-0.11633728590250329,False,-0.062130589419521653
freq_logmag_mean,frequency,df40_pixart,45,210,-3.519977749874331,0.0025396825396825397,0.0,0.0069894179894179845,higher-in-real,-0.5052700922266139,0.5666666666666667,9,0.15377145158263558,,0.3162929176087071,-0.18471673254281945,False,-0.062130589419521653
freq_logmag_mean,frequency,df40_sd21,44,210,-2.87664672447464,0.022294372294372294,0.008327922077922078,0.043406385281385275,higher-in-real,-0.30331219168428464,0.523809523809524,8,0.15377145158263558,,0.3162929176087071,-0.017477096546863986,False,-0.062130589419521653
freq_logmag_mean,frequency,midjourney,45,210,0.9816784743702022,0.8052910052910053,0.7514920634920634,0.8538650793650794,higher-in-fake,0.09644268774703557,0.16666666666666669,9,0.15377145158263558,,0.3162929176087071,-0.13069828722002635,False,-0.062130589419521653
tex_local_variance_mean,texture,aiguard_unseen,60,210,0.141441623432063,0.47515873015873017,0.3926031746031746,0.5655634920634921,higher-in-fake,-0.09502639622117257,0.6749999999999999,15,-0.14902128370273426,0.3109558264117892,-0.34161102055838904,-0.4055570991942207,False,-0.23896380545969867
tex_local_variance_mean,texture,stylegan2_ood,60,210,-0.2011820085382845,0.4633333333333333,0.38817261904761907,0.5407559523809523,higher-in-real,0.26079466518477357,,0,-0.14902128370273426,,-0.34161102055838904,-0.17899416504584612,False,-0.23896380545969867
tex_local_variance_mean,texture,df40_dit,44,210,-1.5326246745864738,0.07705627705627706,0.03168831168831169,0.13777867965367965,higher-in-real,-0.14799154334038056,0.8272727272727273,11,-0.14902128370273426,,-0.34161102055838904,-0.04425651867512333,False,-0.23896380545969867
tex_local_variance_mean,texture,df40_sit,45,210,-1.5081158804038959,0.08423280423280423,0.032902116402116405,0.14456349206349203,higher-in-real,-0.3425559947299077,0.5428571428571429,6,-0.14902128370273426,,-0.34161102055838904,-0.11027667984189722,False,-0.23896380545969867
tex_local_variance_mean,texture,df40_ddim,45,210,-1.1978332819729418,0.14126984126984127,0.09416666666666668,0.19746296296296295,higher-in-real,-0.37246376811594195,0.42857142857142866,7,-0.14902128370273426,,-0.34161102055838904,-0.07220026350461133,False,-0.23896380545969867
tex_local_variance_mean,texture,df40_pixart,45,210,-1.558815527775777,0.04687830687830688,0.022007936507936508,0.07482010582010581,higher-in-real,-0.3669301712779973,0.5333333333333333,9,-0.14902128370273426,,-0.34161102055838904,-0.09552042160737811,False,-0.23896380545969867
tex_local_variance_mean,texture,df40_sd21,44,210,-1.4534492459916992,0.09307359307359307,0.048484848484848485,0.14654761904761904,higher-in-real,-0.26398872445384075,0.04761904761904763,8,-0.14902128370273426,,-0.34161102055838904,-0.17505285412262153,False,-0.23896380545969867
tex_local_variance_mean,texture,midjourney,45,210,0.09762271498221649,0.5626455026455026,0.4830634920634921,0.6369523809523809,higher-in-fake,0.24321475625823447,0.26666666666666666,9,-0.14902128370273426,,-0.34161102055838904,-0.4364953886693017,False,-0.23896380545969867
