model,source,filter_type,n_failures,n_total_composites,failure_mode,count,pct_of_failures,pct_of_all_composites
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,13,36,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,13,36,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,13,36,filter_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,13,36,threshold_calibration_miss,13,100.0,36.11111111111111
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,smoothing_medium,13,36,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,filter_head_miss,33,91.66666666666666,91.66666666666666
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,threshold_calibration_miss,3,8.333333333333332,8.333333333333332
v816@0.85_uncalibrated_reference,DF40-cdf-DiT,whitening_medium,36,36,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,filter_head_miss,37,88.09523809523809,88.09523809523809
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,threshold_calibration_miss,5,11.904761904761903,11.904761904761903
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,eye_enlarging,42,42,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,filter_head_miss,31,73.80952380952381,73.80952380952381
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,threshold_calibration_miss,11,26.190476190476193,26.190476190476193
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,face_reshaping,42,42,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,19,42,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,19,42,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,19,42,filter_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,19,42,threshold_calibration_miss,19,100.0,45.23809523809524
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,smoothing_medium,19,42,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,filter_head_miss,38,90.47619047619048,90.47619047619048
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,threshold_calibration_miss,4,9.523809523809524,9.523809523809524
v816@0.85_uncalibrated_reference,DF40-cdf-SiT,whitening_medium,42,42,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,37,40,layer1_real,1,2.7027027027027026,2.5
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,37,40,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,37,40,filter_head_miss,18,48.64864864864865,45.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,37,40,threshold_calibration_miss,18,48.64864864864865,45.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,eye_enlarging,37,40,other_unclassifiable,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,face_reshaping,36,40,layer1_real,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,face_reshaping,36,40,fake_head_miss,0,0.0,0.0
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,face_reshaping,36,40,filter_head_miss,22,61.111111111111114,55.00000000000001
v816@0.85_uncalibrated_reference,DF40-cdf-ddim,face_reshaping,36,40,threshold_calibration_miss,14,38.88888888888889,35.0
