model,source,filter_type,resolution_condition,n_clean_fake,n_fake_filter,clean_fake_false_filter_rate,clean_fake_false_filter_rate_95ci,filter_head_auroc,filter_head_auroc_95ci,joint_recognition_rate,joint_recognition_95ci,fake_head_recall,mean_filter_probability,median_filter_probability,calibration_threshold
CellC@0.85,DF40-cdf-pixart,eye_enlarging,canonical_1024,43,43,0.0,"[0.0000, 0.0000]",0.5457003785830179,"[0.4213, 0.6701]",0.0,"[0.0000, 0.0000]",1.0,0.015155605609030521,0.0057097771205008,0.85
CellC@0.85,DF40-cdf-pixart,smoothing_medium,canonical_1024,43,43,0.0,"[0.0000, 0.0000]",0.4250946457544619,"[0.3045, 0.5479]",0.0,"[0.0000, 0.0000]",1.0,0.006913118990311395,0.0035529262386262,0.85
CellC@0.85,DF40-cdf-pixart,face_reshaping,canonical_1024,43,43,0.0,"[0.0000, 0.0000]",0.502974580854516,"[0.3845, 0.6257]",0.0,"[0.0000, 0.0000]",1.0,0.011952908836889877,0.0048861242830753,0.85
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,native,39,39,0.0,"[0.0000, 0.0000]",0.4779750164365549,"[0.3478, 0.5983]",0.0,"[0.0000, 0.0000]",1.0,0.026923590315840133,0.0155789144337177,0.85
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,native,39,37,0.0,"[0.0000, 0.0000]",0.5024255024255024,"[0.3728, 0.6306]",0.0,"[0.0000, 0.0000]",1.0,0.03615233384551023,0.0207000505179166,0.85
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,native,39,37,0.0,"[0.0000, 0.0000]",0.30838530838530837,"[0.1919, 0.4227]",0.0,"[0.0000, 0.0000]",1.0,0.0150148082222487,0.0070522958412766,0.85
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,native,39,37,0.0,"[0.0000, 0.0000]",0.49965349965349964,"[0.3673, 0.6299]",0.0,"[0.0000, 0.0000]",1.0,0.03564669258540139,0.0195147190243005,0.85
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,canonical_256,37,37,0.0,"[0.0000, 0.0000]",0.5149744338933527,"[0.3835, 0.6465]",0.0,"[0.0000, 0.0000]",1.0,0.04158915240770655,0.0272001475095748,0.85
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,canonical_256,37,37,0.0,"[0.0000, 0.0000]",0.5098612125639153,"[0.3776, 0.6457]",0.0,"[0.0000, 0.0000]",1.0,0.04436179051628786,0.0263781826943159,0.85
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,canonical_256,37,37,0.0,"[0.0000, 0.0000]",0.7640613586559533,"[0.6472, 0.8641]",0.0,"[0.0000, 0.0000]",1.0,0.13319271617896247,0.0722420066595077,0.85
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,canonical_256,37,37,0.0,"[0.0000, 0.0000]",0.5098612125639153,"[0.3806, 0.6443]",0.0,"[0.0000, 0.0000]",1.0,0.04262924389410257,0.0279919207096099,0.85
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,canonical_512,37,37,0.0,"[0.0000, 0.0000]",0.4550766983199416,"[0.3228, 0.5946]",0.0,"[0.0000, 0.0000]",1.0,0.025710202420029634,0.0149748856201767,0.85
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,canonical_512,37,37,0.0,"[0.0000, 0.0000]",0.506208911614317,"[0.3747, 0.6363]",0.0,"[0.0000, 0.0000]",1.0,0.03741485448050737,0.0190365221351385,0.85
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,canonical_512,37,37,0.0,"[0.0000, 0.0000]",0.3382030679327977,"[0.2118, 0.4617]",0.0,"[0.0000, 0.0000]",1.0,0.017668723864984227,0.0078099379315972,0.85
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,canonical_512,37,37,0.0,"[0.0000, 0.0000]",0.5047479912344777,"[0.3696, 0.6392]",0.0,"[0.0000, 0.0000]",1.0,0.03604026801405923,0.0207780450582504,0.85
CellC@0.85,DF40-cdf-sd2.1,whitening_medium,canonical_1024,37,37,0.0,"[0.0000, 0.0000]",0.44558071585098613,"[0.3148, 0.5778]",0.0,"[0.0000, 0.0000]",1.0,0.01463060209376582,0.0094147678464651,0.85
CellC@0.85,DF40-cdf-sd2.1,eye_enlarging,canonical_1024,37,37,0.0,"[0.0000, 0.0000]",0.5200876552227903,"[0.3915, 0.6494]",0.0,"[0.0000, 0.0000]",1.0,0.021898631550799498,0.0127492742612957,0.85
CellC@0.85,DF40-cdf-sd2.1,smoothing_medium,canonical_1024,37,37,0.0,"[0.0000, 0.0000]",0.2739225712198685,"[0.1651, 0.3930]",0.0,"[0.0000, 0.0000]",1.0,0.00891345891963081,0.0043716388754546,0.85
CellC@0.85,DF40-cdf-sd2.1,face_reshaping,canonical_1024,37,37,0.0,"[0.0000, 0.0000]",0.49817384952520094,"[0.3659, 0.6267]",0.0,"[0.0000, 0.0000]",1.0,0.020889572116445602,0.0107323117554187,0.85
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,native,36,36,0.0,"[0.0000, 0.0000]",0.5308641975308642,"[0.3981, 0.6667]",0.0,"[0.0000, 0.0000]",1.0,0.3212627377361059,0.31029750406742096,0.95
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,native,36,36,0.0,"[0.0000, 0.0000]",0.5447530864197531,"[0.4113, 0.6744]",0.0,"[0.0000, 0.0000]",1.0,0.3379228351016839,0.3163827657699585,0.95
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,native,36,36,0.0,"[0.0000, 0.0000]",1.0,"[1.0000, 1.0000]",0.1388888888888889,"[0.0278, 0.2500]",1.0,0.8559271742900213,0.8703857660293579,0.95
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,native,36,36,0.0,"[0.0000, 0.0000]",0.6535493827160495,"[0.5247, 0.7693]",0.0,"[0.0000, 0.0000]",1.0,0.40860534293784034,0.3763544112443924,0.95
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.6512345679012346,"[0.5231, 0.7716]",0.0,"[0.0000, 0.0000]",1.0,0.3972357973042462,0.39384420216083527,0.95
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.5979938271604938,"[0.4645, 0.7307]",0.0,"[0.0000, 0.0000]",1.0,0.36538780522015357,0.3666966110467911,0.95
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,canonical_256,36,36,0.0,"[0.0000, 0.0000]",1.0,"[1.0000, 1.0000]",0.2222222222222222,"[0.0833, 0.3611]",1.0,0.8789656443728341,0.8960381150245667,0.95
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,canonical_256,36,36,0.0,"[0.0000, 0.0000]",0.7476851851851852,"[0.6342, 0.8519]",0.0,"[0.0000, 0.0000]",1.0,0.4780965426729785,0.44925530254840845,0.95
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.5362654320987654,"[0.3989, 0.6752]",0.0,"[0.0000, 0.0000]",1.0,0.2924645868026548,0.25933320820331573,0.95
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.5779320987654321,"[0.4452, 0.7053]",0.0,"[0.0000, 0.0000]",1.0,0.3121192047579421,0.27120107412338257,0.95
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.7445987654320988,"[0.6188, 0.8511]",0.0,"[0.0000, 0.0000]",1.0,0.4102915409538481,0.3875051885843277,0.95
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,canonical_512,36,36,0.0,"[0.0000, 0.0000]",0.5679012345679012,"[0.4251, 0.7045]",0.0,"[0.0000, 0.0000]",1.0,0.31090038186973995,0.26313187181949615,0.95
v816@0.95_calibrated,DF40-cdf-DiT,whitening_medium,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.5,"[0.3696, 0.6358]",0.0,"[0.0000, 0.0000]",1.0,0.2846588622778654,0.2505731955170631,0.95
v816@0.95_calibrated,DF40-cdf-DiT,eye_enlarging,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.5879629629629629,"[0.4591, 0.7099]",0.0,"[0.0000, 0.0000]",1.0,0.33071803115308285,0.2985858917236328,0.95
v816@0.95_calibrated,DF40-cdf-DiT,smoothing_medium,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.33333333333333326,"[0.2091, 0.4622]",0.0,"[0.0000, 0.0000]",1.0,0.20871195942163465,0.18847100436687464,0.95
v816@0.95_calibrated,DF40-cdf-DiT,face_reshaping,canonical_1024,36,36,0.0,"[0.0000, 0.0000]",0.5154320987654322,"[0.3843, 0.6497]",0.0,"[0.0000, 0.0000]",1.0,0.29592173650032944,0.25642128288745875,0.95
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,native,42,42,0.0,"[0.0000, 0.0000]",0.5402494331065759,"[0.4116, 0.6689]",0.0,"[0.0000, 0.0000]",1.0,0.33146938575165613,0.3280658572912216,0.95
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,native,42,42,0.0,"[0.0000, 0.0000]",0.6071428571428572,"[0.4841, 0.7308]",0.0,"[0.0000, 0.0000]",1.0,0.3733924666330928,0.3526236712932586,0.95
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,native,42,42,0.0,"[0.0000, 0.0000]",0.9909297052154196,"[0.9728, 1.0000]",0.16666666666666666,"[0.0714, 0.2857]",1.0,0.8437171422299885,0.8598605990409851,0.95
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,native,42,42,0.0,"[0.0000, 0.0000]",0.6570294784580499,"[0.5351, 0.7681]",0.0,"[0.0000, 0.0000]",1.0,0.4053555904399781,0.37262044847011566,0.95
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.6332199546485261,"[0.5158, 0.7512]",0.0,"[0.0000, 0.0000]",1.0,0.38688085015331,0.4028073251247406,0.95
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.6190476190476191,"[0.4949, 0.7358]",0.0,"[0.0000, 0.0000]",1.0,0.38210708204479443,0.3631517738103866,0.95
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.9965986394557822,"[0.9875, 1.0000]",0.2857142857142857,"[0.1667, 0.4286]",1.0,0.8724004597890944,0.8753631711006165,0.95
v816@0.95_calibrated,DF40-cdf-SiT,face_reshaping,canonical_256,42,42,0.0,"[0.0000, 0.0000]",0.7981859410430839,"[0.6978, 0.8900]",0.0,"[0.0000, 0.0000]",1.0,0.503839001946506,0.5127612054347992,0.95
v816@0.95_calibrated,DF40-cdf-SiT,whitening_medium,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.4733560090702948,"[0.3481, 0.5935]",0.0,"[0.0000, 0.0000]",1.0,0.2870622962003663,0.2821223586797714,0.95
v816@0.95_calibrated,DF40-cdf-SiT,eye_enlarging,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.6020408163265306,"[0.4773, 0.7200]",0.0,"[0.0000, 0.0000]",1.0,0.3472965019089835,0.3372223526239395,0.95
v816@0.95_calibrated,DF40-cdf-SiT,smoothing_medium,canonical_512,42,42,0.0,"[0.0000, 0.0000]",0.6678004535147393,"[0.5482, 0.7778]",0.0,"[0.0000, 0.0000]",1.0,0.390207570400976,0.4059601277112961,0.95
